orden_compra_id,proveedor_id,proveedor_nombre,categoria,fecha_compra,fecha_pago_acordado,fecha_pago_real,monto_compra,monto_pagado,moneda,estado,condicion_pago_dias,corroboracion_fechas,estado_pago
OC-019,PR009,Moda y Estilo SA,Textil,2023-02-20,2023-05-21,2023-05-22,880000,880000.0,CLP,Pagado,90,91.0,Pagado con retraso
OC-020,PR001,Proveedor TechGlobal,Electronica,2023-02-22,2023-03-24,2023-03-23,3200000,3200000.0,CLP,Pagado,30,29.0,Pagado con adelanto
OC-021,PR004,Importadora FoodTech,Alimentos,2023-03-01,2023-04-30,2023-04-29,780000,780000.0,CLP,Pagado,60,59.0,Pagado con adelanto
OC-022,PR010,Cereales y Granos,Alimentos,2023-03-03,2023-05-02,2023-05-03,420000,420000.0,CLP,Pagado,60,61.0,Pagado con retraso
OC-023,PR005,Manufactura Textil Norte,Textil,2023-03-05,2023-06-03,2023-06-05,1380000,1380000.0,CLP,Pagado,90,92.0,Pagado con retraso
OC-024,PR008,ElectroComponent Sur,Electronica,2023-03-08,2023-04-07,2023-04-06,2900000,2900000.0,CLP,Pagado,30,29.0,Pagado con adelanto
OC-025,PR002,Distribuidora Alimentos SA,Alimentos,2023-03-10,2023-05-09,2023-05-10,710000,710000.0,CLP,Pagado,60,61.0,Pagado con retraso
OC-026,PR006,TechParts Internacional,Electronica,2023-03-12,2023-04-11,2023-04-12,5100000,5100000.0,CLP,Pagado,30,31.0,Pagado con retraso
OC-027,PR009,Moda y Estilo SA,Textil,2023-03-15,2023-06-13,2023-06-15,920000,920000.0,CLP,Pagado,90,92.0,Pagado con retraso
OC-028,PR007,Granos del Campo,Alimentos,2023-03-18,2023-04-17,2023-04-16,490000,490000.0,CLP,Pagado,30,29.0,Pagado con adelanto
OC-029,PR001,Proveedor TechGlobal,Electronica,2023-03-20,2023-04-19,2023-04-18,3600000,3600000.0,CLP,Pagado,30,29.0,Pagado con adelanto
OC-030,PR010,Cereales y Granos,Alimentos,2023-03-22,2023-05-21,2023-05-22,380000,380000.0,CLP,Pagado,60,61.0,Pagado con retraso
OC-031,PR003,Textiles del Sur,Textil,2023-04-01,2023-06-30,2023-07-02,1580000,1580000.0,CLP,Pagado,90,92.0,Pagado con retraso
OC-032,PR004,Importadora FoodTech,Alimentos,2023-04-03,2023-06-02,2023-06-01,820000,820000.0,CLP,Pagado,60,59.0,Pagado con adelanto
OC-033,PR008,ElectroComponent Sur,Electronica,2023-04-05,2023-05-05,2023-05-04,3300000,3300000.0,CLP,Pagado,30,29.0,Pagado con adelanto
OC-034,PR005,Manufactura Textil Norte,Textil,2023-04-08,2023-07-07,2023-07-08,1420000,1420000.0,CLP,Pagado,90,91.0,Pagado con retraso
OC-035,PR006,TechParts Internacional,Electronica,2023-04-10,2023-05-10,2023-05-12,4600000,4600000.0,CLP,Pagado,30,32.0,Pagado con retraso
OC-036,PR002,Distribuidora Alimentos SA,Alimentos,2023-04-12,2023-06-11,2023-06-12,680000,680000.0,CLP,Pagado,60,61.0,Pagado con retraso
OC-037,PR009,Moda y Estilo SA,Textil,2023-04-15,2023-07-14,2023-07-15,1050000,1050000.0,CLP,Pagado,90,91.0,Pagado con retraso
OC-038,PR007,Granos del Campo,Alimentos,2023-04-18,2023-05-18,2023-05-17,510000,510000.0,CLP,Pagado,30,29.0,Pagado con adelanto
OC-039,PR001,Proveedor TechGlobal,Electronica,2023-04-20,2023-05-20,2023-05-22,3900000,3900000.0,CLP,Pagado,30,32.0,Pagado con retraso
OC-040,PR010,Cereales y Granos,Alimentos,2023-04-22,2023-06-21,2023-06-22,410000,410000.0,CLP,Pagado,60,61.0,Pagado con retraso
OC-041,PR003,Textiles del Sur,Textil,2023-05-01,2023-07-30,,1650000,,CLP,Pendiente,90,,Pago pendiente
OC-042,PR004,Importadora FoodTech,Alimentos,2023-05-03,2023-07-02,,860000,,CLP,Pendiente,60,,Pago pendiente
OC-043,PR008,ElectroComponent Sur,Electronica,2023-05-05,2023-06-04,2023-06-03,3500000,3500000.0,CLP,Pagado,30,29.0,Pagado con adelanto
OC-044,PR005,Manufactura Textil Norte,Textil,2023-05-08,2023-08-06,,1480000,,CLP,Pendiente,90,,Pago pendiente
OC-045,PR006,TechParts Internacional,Electronica,2023-05-10,2023-06-09,2023-06-10,4900000,4900000.0,CLP,Pagado,30,31.0,Pagado con retraso
OC-046,PR002,Distribuidora Alimentos SA,Alimentos,2023-05-12,2023-07-11,2023-07-12,720000,720000.0,CLP,Pagado,60,61.0,Pagado con retraso
OC-047,PR009,Moda y Estilo SA,Textil,2023-05-15,2023-08-13,,1120000,,CLP,Pendiente,90,,Pago pendiente
OC-048,PR007,Granos del Campo,Alimentos,2023-05-18,2023-06-17,2023-06-16,540000,540000.0,CLP,Pagado,30,29.0,Pagado con adelanto
OC-049,PR001,Proveedor TechGlobal,Electronica,2023-05-20,2023-06-19,2023-06-18,4100000,4100000.0,CLP,Pagado,30,29.0,Pagado con adelanto
OC-050,PR010,Cereales y Granos,Alimentos,2023-05-22,2023-07-21,,430000,,CLP,Pendiente,60,,Pago pendiente
OC-051,PR003,Textiles del Sur,Textil,2023-06-01,2023-08-30,2023-09-01,1720000,1720000.0,CLP,Pagado,90,92.0,Pagado con retraso
OC-052,PR004,Importadora FoodTech,Alimentos,2023-06-03,2023-08-02,2023-08-03,900000,900000.0,CLP,Pagado,60,61.0,Pagado con retraso
OC-053,PR008,ElectroComponent Sur,Electronica,2023-06-05,2023-07-05,2023-07-04,3700000,3700000.0,CLP,Pagado,30,29.0,Pagado con adelanto
OC-054,PR005,Manufactura Textil Norte,Textil,2023-06-08,2023-09-06,,1550000,,CLP,Pendiente,90,,Pago pendiente
OC-055,PR006,TechParts Internacional,Electronica,2023-06-10,2023-07-10,2023-07-11,5200000,5200000.0,CLP,Pagado,30,31.0,Pagado con retraso
OC-056,PR002,Distribuidora Alimentos SA,Alimentos,2023-06-12,2023-08-11,2023-08-12,750000,750000.0,CLP,Pagado,60,61.0,Pagado con retraso
OC-057,PR009,Moda y Estilo SA,Textil,2023-06-15,2023-09-13,2023-09-14,1180000,1180000.0,CLP,Pagado,90,91.0,Pagado con retraso
OC-058,PR007,Granos del Campo,Alimentos,2023-06-18,2023-07-18,2023-07-17,560000,560000.0,CLP,Pagado,30,29.0,Pagado con adelanto
OC-059,PR001,Proveedor TechGlobal,Electronica,2023-06-20,2023-07-20,2023-07-22,4300000,4300000.0,CLP,Pagado,30,32.0,Pagado con retraso
OC-060,PR010,Cereales y Granos,Alimentos,2023-06-22,2023-08-21,2023-08-22,450000,450000.0,CLP,Pagado,60,61.0,Pagado con retraso
OC-061,PR003,Textiles del Sur,Textil,2023-07-01,2023-09-29,,1800000,,CLP,Pendiente,90,,Pago pendiente
OC-062,PR004,Importadora FoodTech,Alimentos,2023-07-03,2023-09-01,,940000,,CLP,Pendiente,60,,Pago pendiente
OC-063,PR008,ElectroComponent Sur,Electronica,2023-07-05,2023-08-04,2023-08-03,3900000,3900000.0,CLP,Pagado,30,29.0,Pagado con adelanto
OC-064,PR005,Manufactura Textil Norte,Textil,2023-07-08,2023-10-06,,1620000,,CLP,Pendiente,90,,Pago pendiente
OC-065,PR006,TechParts Internacional,Electronica,2023-07-10,2023-08-09,2023-08-10,5400000,5400000.0,CLP,Pagado,30,31.0,Pagado con retraso
OC-066,PR002,Distribuidora Alimentos SA,Alimentos,2023-07-12,2023-09-10,2023-09-11,780000,780000.0,CLP,Pagado,60,61.0,Pagado con retraso
OC-067,PR009,Moda y Estilo SA,Textil,2023-07-15,2023-10-13,2023-10-14,1250000,1250000.0,CLP,Pagado,90,91.0,Pagado con retraso
OC-068,PR007,Granos del Campo,Alimentos,2023-07-18,2023-08-17,2023-08-16,580000,580000.0,CLP,Pagado,30,29.0,Pagado con adelanto
OC-069,PR001,Proveedor TechGlobal,Electronica,2023-07-20,2023-08-19,2023-08-20,4500000,4500000.0,CLP,Pagado,30,31.0,Pagado con retraso
OC-070,PR010,Cereales y Granos,Alimentos,2023-07-22,2023-09-20,,470000,,CLP,Pendiente,60,,Pago pendiente
OC-071,PR003,Textiles del Sur,Textil,2023-08-01,2023-10-30,2023-11-01,1880000,1880000.0,CLP,Pagado,90,92.0,Pagado con retraso
OC-072,PR004,Importadora FoodTech,Alimentos,2023-08-03,2023-10-02,2023-10-03,980000,980000.0,CLP,Pagado,60,61.0,Pagado con retraso
OC-073,PR008,ElectroComponent Sur,Electronica,2023-08-05,2023-09-04,2023-09-03,4100000,4100000.0,CLP,Pagado,30,29.0,Pagado con adelanto
OC-074,PR005,Manufactura Textil Norte,Textil,2023-08-08,2023-11-06,,1690000,,CLP,Pendiente,90,,Pago pendiente
OC-075,PR006,TechParts Internacional,Electronica,2023-08-10,2023-09-09,2023-09-10,5600000,5600000.0,CLP,Pagado,30,31.0,Pagado con retraso
OC-076,PR002,Distribuidora Alimentos SA,Alimentos,2023-08-12,2023-10-11,2023-10-12,810000,810000.0,CLP,Pagado,60,61.0,Pagado con retraso
OC-077,PR009,Moda y Estilo SA,Textil,2023-08-15,2023-11-13,,1320000,,CLP,Pendiente,90,,Pago pendiente
OC-078,PR007,Granos del Campo,Alimentos,2023-08-18,2023-09-17,2023-09-16,600000,600000.0,CLP,Pagado,30,29.0,Pagado con adelanto
OC-079,PR001,Proveedor TechGlobal,Electronica,2023-08-20,2023-09-19,2023-09-20,4700000,4700000.0,CLP,Pagado,30,31.0,Pagado con retraso
OC-080,PR010,Cereales y Granos,Alimentos,2023-08-22,2023-10-21,2023-10-22,490000,490000.0,CLP,Pagado,60,61.0,Pagado con retraso
OC-081,PR003,Textiles del Sur,Textil,2023-09-01,2023-11-30,,1950000,,CLP,Pendiente,90,,Pago pendiente
OC-082,PR004,Importadora FoodTech,Alimentos,2023-09-03,2023-11-02,,1020000,,CLP,Pendiente,60,,Pago pendiente
OC-083,PR008,ElectroComponent Sur,Electronica,2023-09-05,2023-10-05,2023-10-04,4300000,4300000.0,CLP,Pagado,30,29.0,Pagado con adelanto
OC-084,PR005,Manufactura Textil Norte,Textil,2023-09-08,2023-12-07,,1760000,,CLP,Pendiente,90,,Pago pendiente
OC-085,PR006,TechParts Internacional,Electronica,2023-09-10,2023-10-10,2023-10-11,5800000,5800000.0,CLP,Pagado,30,31.0,Pagado con retraso
OC-086,PR002,Distribuidora Alimentos SA,Alimentos,2023-09-12,2023-11-11,2023-11-12,840000,840000.0,CLP,Pagado,60,61.0,Pagado con retraso
OC-087,PR009,Moda y Estilo SA,Textil,2023-09-15,2023-12-14,,1390000,,CLP,Pendiente,90,,Pago pendiente
OC-088,PR007,Granos del Campo,Alimentos,2023-09-18,2023-10-18,2023-10-17,620000,620000.0,CLP,Pagado,30,29.0,Pagado con adelanto
OC-089,PR001,Proveedor TechGlobal,Electronica,2023-09-20,2023-10-20,2023-10-22,4900000,4900000.0,CLP,Pagado,30,32.0,Pagado con retraso
OC-090,PR010,Cereales y Granos,Alimentos,2023-09-22,2023-11-21,,510000,,CLP,Pendiente,60,,Pago pendiente
OC-091,PR003,Textiles del Sur,Textil,2023-10-01,2023-12-30,,2020000,,CLP,Pendiente,90,,Pago pendiente
OC-092,PR004,Importadora FoodTech,Alimentos,2023-10-03,2023-12-02,,1060000,,CLP,Pendiente,60,,Pago pendiente
OC-093,PR008,ElectroComponent Sur,Electronica,2023-10-05,2023-11-04,2023-11-03,4500000,4500000.0,CLP,Pagado,30,29.0,Pagado con adelanto
OC-094,PR005,Manufactura Textil Norte,Textil,2023-10-08,2024-01-06,,1830000,,CLP,Pendiente,90,,Pago pendiente
OC-095,PR006,TechParts Internacional,Electronica,2023-10-10,2023-11-09,2023-11-10,6000000,6000000.0,CLP,Pagado,30,31.0,Pagado con retraso
OC-096,PR002,Distribuidora Alimentos SA,Alimentos,2023-10-12,2023-12-11,,870000,,CLP,Pendiente,60,,Pago pendiente
OC-097,PR009,Moda y Estilo SA,Textil,2023-10-15,2024-01-13,,1460000,,CLP,Pendiente,90,,Pago pendiente
OC-098,PR007,Granos del Campo,Alimentos,2023-10-18,2023-11-17,2023-11-16,640000,640000.0,CLP,Pagado,30,29.0,Pagado con adelanto
OC-099,PR001,Proveedor TechGlobal,Electronica,2023-10-20,2023-11-19,2023-11-20,5100000,5100000.0,CLP,Pagado,30,31.0,Pagado con retraso
OC-100,PR010,Cereales y Granos,Alimentos,2023-10-22,2023-12-21,,530000,,CLP,Pendiente,60,,Pago pendiente
OC-101,PR003,Textiles del Sur,Textil,2023-11-01,2024-01-30,,2100000,,CLP,Pendiente,90,,Pago pendiente
OC-102,PR004,Importadora FoodTech,Alimentos,2023-11-03,2024-01-02,,1100000,,CLP,Pendiente,60,,Pago pendiente
OC-103,PR008,ElectroComponent Sur,Electronica,2023-11-05,2023-12-05,2023-12-04,4700000,4700000.0,CLP,Pagado,30,29.0,Pagado con adelanto
OC-104,PR005,Manufactura Textil Norte,Textil,2023-11-08,2024-02-06,,1900000,,CLP,Pendiente,90,,Pago pendiente
OC-105,PR006,TechParts Internacional,Electronica,2023-11-10,2023-12-10,2023-12-11,6200000,6200000.0,CLP,Pagado,30,31.0,Pagado con retraso
OC-106,PR002,Distribuidora Alimentos SA,Alimentos,2023-11-12,2024-01-11,,900000,,CLP,Pendiente,60,,Pago pendiente
OC-107,PR009,Moda y Estilo SA,Textil,2023-11-15,2024-02-13,,1530000,,CLP,Pendiente,90,,Pago pendiente
OC-108,PR007,Granos del Campo,Alimentos,2023-11-18,2023-12-18,2023-12-17,660000,660000.0,CLP,Pagado,30,29.0,Pagado con adelanto
OC-109,PR001,Proveedor TechGlobal,Electronica,2023-11-20,2023-12-20,2023-12-22,5300000,5300000.0,CLP,Pagado,30,32.0,Pagado con retraso
OC-110,PR010,Cereales y Granos,Alimentos,2023-11-22,2024-01-21,,550000,,CLP,Pendiente,60,,Pago pendiente
OC-111,PR003,Textiles del Sur,Textil,2023-12-01,2024-02-29,,2180000,,CLP,Pendiente,90,,Pago pendiente
OC-112,PR004,Importadora FoodTech,Alimentos,2023-12-03,2024-02-01,,1140000,,CLP,Pendiente,60,,Pago pendiente
OC-113,PR008,ElectroComponent Sur,Electronica,2023-12-05,2024-01-04,,4900000,,CLP,Pendiente,30,,Pago pendiente
OC-114,PR005,Manufactura Textil Norte,Textil,2023-12-08,2024-03-07,,1970000,,CLP,Pendiente,90,,Pago pendiente
OC-115,PR006,TechParts Internacional,Electronica,2023-12-10,2024-01-09,,6400000,,CLP,Pendiente,30,,Pago pendiente
OC-116,PR002,Distribuidora Alimentos SA,Alimentos,2023-12-12,2024-02-10,,930000,,CLP,Pendiente,60,,Pago pendiente
OC-117,PR009,Moda y Estilo SA,Textil,2023-12-15,2024-03-14,,1600000,,CLP,Pendiente,90,,Pago pendiente
OC-118,PR007,Granos del Campo,Alimentos,2023-12-18,2024-01-17,,680000,,CLP,Pendiente,30,,Pago pendiente
OC-119,PR001,Proveedor TechGlobal,Electronica,2023-12-20,2024-01-19,,5500000,,CLP,Pendiente,30,,Pago pendiente
OC-120,PR010,Cereales y Granos,Alimentos,2023-12-22,2024-02-20,,570000,,CLP,Pendiente,60,,Pago pendiente
ID_DESCONOCIDO,PR011,NOMBRE_DESCONOCIDO,Textil,2023-06-15,2023-09-13,2023-09-14,500000,500000.0,CLP,Pagado,90,91.0,Pagado con retraso
ID_DESCONOCIDO,PR012,NOMBRE_DESCONOCIDO,CATEGORIA_DESCONOCIDA,2023-07-20,2023-08-19,2023-08-25,350000,350000.0,CLP,Pagado,30,36.0,Pagado con retraso
OC-999,PR001,Proveedor TechGlobal,Electronica,,2023-11-10,2023-11-10,300000,300000.0,CLP,Pagado,30,,Pagado a tiempo
OC-998,PR003,Textiles del Sur,Textil,2023-01-01,2023-04-01,2023-04-01,200000,200000.0,CLP,Pagado,90,90.0,Pagado a tiempo
OC-997,PR002,Distribuidora Alimentos SA,Alimentos,2023-08-10,2023-10-09,2023-10-10,120000,120000.0,CLP,Pagado,60,61.0,Pagado con retraso
OC-996,PR006,TechParts Internacional,Electronica,2023-05-15,2023-06-14,2023-06-13,999999999,999999999.0,CLP,Pagado,30,29.0,Pagado con adelanto
